iter	RMSE
0	1319.758345
1	1278.506864
2	1239.393857
3	1203.331172
4	1168.881063
5	1137.135815
6	1107.217562
7	1078.385731
8	1050.932841
9	1025.541416
10	1001.6212
11	979.3292427
12	957.9556192
13	938.1217038
14	918.9558669
15	901.2100349
16	882.9216622
17	865.9397145
18	851.3100423
19	837.1830403
20	823.2092772
21	810.4695901
22	798.6779202
23	787.6654967
24	776.1243344
25	765.4769507
26	754.7864074
27	745.7414941
28	737.0231405
29	728.3803095
30	720.5074012
31	713.2195545
32	705.9649475
33	699.3004161
34	691.7152976
35	685.389711
36	679.7381715
37	673.7307761
38	667.9755215
39	661.7706967
40	656.4980379
41	651.3205331
42	646.5426437
43	641.9328514
44	637.4682843
45	632.7821164
46	628.0766498
47	622.9390483
48	619.1601509
49	615.5329663
50	611.5143517
51	607.9187075
52	603.9402699
53	600.1071215
54	596.7661074
55	593.6677694
56	590.2172537
57	586.7077715
58	583.183057
59	580.4769236
60	577.7030774
61	575.1655815
62	572.1060823
63	568.8900107
64	566.5683912
65	564.4344127
66	561.913495
67	559.2202371
68	556.2235828
69	553.9498485
70	551.8655821
71	549.2168359
72	547.0619706
73	544.9571135
74	541.8802484
75	539.5301369
76	537.571335
77	534.9651115
78	533.2932296
79	531.5231383
80	529.5956149
81	527.6178062
82	525.2641654
83	523.1900319
84	521.3820896
85	519.7178998
86	518.0071021
87	516.2627985
88	514.4324623
89	512.1166001
90	509.97744
91	508.2090934
92	506.3788236
93	504.6034491
94	502.9183402
95	501.2598108
96	499.2248317
97	497.7101312
98	496.5943035
99	495.2002375
100	493.5100825
101	492.1083523
102	490.79908
103	489.2049904
104	487.7832544
105	486.2088351
106	485.2153487
107	483.7916152
108	482.7030448
109	481.1225978
110	479.4170649
111	478.3522861
112	477.2238309
113	475.6803421
114	474.9299844
115	473.8008072
116	472.3709718
117	471.1280193
118	469.8403173
119	468.0841705
120	467.0806214
121	465.4856897
122	464.1622322
123	463.076578
124	462.1348517
125	461.0857758
126	460.1967543
127	459.3482255
128	458.0335666
129	457.3662997
130	456.3512023
131	455.3529073
132	454.4003481
133	452.9658397
134	452.0379412
135	451.3048486
136	450.3487719
137	449.6108584
138	448.8742955
139	448.1842218
140	447.4800016
141	446.5671532
142	445.5221336
143	444.659956
144	443.946906
145	442.7732997
146	441.9841644
147	441.2467393
148	440.447763
149	439.31022
150	438.1063451
151	437.2992398
152	436.4706867
153	435.5107447
154	435.0470717
155	434.3219853
156	433.7069018
157	433.2386488
158	432.6842027
159	432.2720101
160	431.5492524
161	430.8607481
162	430.2585938
163	429.5405398
164	429.0701477
165	428.5848592
166	427.8328805
167	427.1636648
168	426.3941873
169	425.5019451
170	424.8452935
171	424.168643
172	423.2472882
173	422.8166625
174	422.3722054
175	421.8312198
176	421.1711772
177	420.7285666
178	420.4129539
179	419.7102071
180	418.6286136
181	417.8197306
182	417.2762503
183	416.7411125
184	416.0064075
185	415.2944927
186	414.5686736
187	414.1959876
188	413.7166955
189	413.2536804
190	412.7744813
191	412.059941
192	411.3981435
193	410.816828
194	410.475979
195	410.031382
196	409.7256817
197	409.2852718
198	408.7781702
199	408.1007901
200	407.2280381
201	406.7897408
202	406.2079277
203	405.8903897
204	405.0571767
205	404.5259058
206	403.7684569
207	403.2866705
208	402.797783
209	402.3550819
210	401.9460262
211	401.6993617
212	401.2681547
213	400.7527291
214	400.1281965
215	399.1041147
216	398.7289024
217	398.2128015
218	397.4846276
219	397.0823671
220	396.5228075
221	395.9930325
222	395.7542104
223	395.3338189
224	394.9830816
225	394.5294638
226	393.7892124
227	393.3271171
228	392.8647407
229	392.4962601
230	392.1492267
231	391.5288857
232	391.1048405
233	390.8320014
234	390.1954155
235	389.787725
236	389.4310394
237	388.8762698
238	388.6583757
239	388.2022543
240	387.9977004
241	387.6387748
242	387.061122
243	386.6348061
244	386.0979195
245	385.8145923
246	385.6475943
247	385.3368459
248	384.8820716
249	384.6191828
250	384.3372129
251	384.0185786
252	383.580162
253	383.1529087
254	382.804306
255	382.4907366
256	382.1992047
257	381.7689065
258	381.3548516
259	381.0036139
260	380.481819
261	380.1424463
262	379.5613801
263	379.2455173
264	378.9729591
265	378.6451709
266	378.2624706
267	377.8675482
268	377.6395717
269	377.2655595
270	376.705646
271	376.3341936
272	376.1420494
273	375.6929544
274	375.4940473
275	375.3358235
276	375.0991913
277	374.8216016
278	374.620947
279	374.2738519
280	373.9044312
281	373.4359074
282	373.2151339
283	372.9443444
284	372.4151296
285	372.237413
286	372.0126259
287	371.5192871
288	371.1553844
289	370.7145246
290	369.981604
291	369.6441097
292	369.4202773
293	369.1752547
294	368.9750153
295	368.4986596
296	368.144716
297	367.8057701
298	367.4332026
299	367.3069223
300	366.9226359
301	366.6425245
302	366.4610894
303	366.0247204
304	365.3903805
305	364.8731867
306	364.6459307
307	364.4233836
308	364.1391341
309	363.9555318
310	363.688678
311	363.4097719
312	363.1014315
313	362.7241902
314	362.5755199
315	362.3324348
316	361.7918951
317	361.4075624
318	361.1654076
319	360.6785381
320	360.4354699
321	360.1519753
322	359.9938751
323	359.7774026
324	359.3743689
325	359.0452961
326	358.6895751
327	358.4766046
328	358.1916653
329	358.0466751
330	357.5667279
331	357.3395573
332	356.9663686
333	356.7870405
334	356.4689436
335	356.140079
336	355.7442259
337	355.6059684
338	355.3433045
339	355.0306717
340	354.7224253
341	354.3535314
342	354.1373693
343	353.9365202
