iter	Passed	Remaining
0	5	2947
1	10	2720
2	14	2440
3	19	2428
4	23	2322
5	27	2250
6	31	2240
7	36	2249
8	40	2223
9	45	2216
10	49	2202
11	53	2181
12	57	2169
13	62	2168
14	66	2151
15	70	2134
16	74	2122
17	78	2115
18	83	2121
19	87	2100
20	92	2099
21	96	2100
22	100	2087
23	104	2076
24	108	2061
25	112	2052
26	116	2043
27	121	2042
28	125	2037
29	129	2035
30	134	2028
31	138	2021
32	142	2012
33	146	2009
34	151	2013
35	155	2007
36	159	2001
37	164	2003
38	168	1995
39	173	1991
40	177	1988
41	181	1984
42	185	1976
43	190	1974
44	194	1967
45	198	1959
46	203	1957
47	207	1952
48	211	1946
49	215	1942
50	219	1935
51	223	1926
52	228	1930
53	232	1922
54	237	1918
55	241	1915
56	245	1909
57	250	1905
58	255	1908
59	259	1901
60	264	1901
61	268	1896
62	272	1888
63	277	1888
64	281	1883
65	285	1876
66	289	1872
67	293	1864
68	298	1862
69	302	1860
70	307	1855
71	311	1849
72	315	1848
73	319	1841
74	323	1834
75	328	1832
76	332	1828
77	337	1824
78	341	1819
79	345	1813
80	349	1808
81	354	1804
82	358	1803
83	362	1795
84	367	1792
85	371	1787
86	375	1782
87	379	1778
88	384	1775
89	388	1771
90	393	1767
91	397	1760
92	400	1754
93	404	1748
94	409	1743
95	413	1738
96	417	1733
97	421	1727
98	425	1721
99	428	1715
100	433	1712
101	438	1710
102	442	1704
103	447	1702
104	451	1698
105	456	1696
106	460	1691
107	464	1685
108	468	1680
109	472	1676
110	476	1670
111	480	1665
112	485	1664
113	489	1658
114	494	1656
115	498	1650
116	502	1644
117	506	1638
118	511	1637
119	515	1632
120	519	1628
121	524	1625
122	528	1620
123	533	1616
124	537	1613
125	541	1608
126	545	1603
127	550	1598
128	554	1593
129	558	1588
130	563	1586
131	567	1581
132	572	1578
133	576	1574
134	580	1570
135	585	1567
136	589	1562
137	593	1558
138	598	1554
139	602	1549
140	606	1545
141	611	1541
142	615	1536
143	619	1531
144	624	1528
145	628	1523
146	632	1518
147	635	1512
148	639	1507
149	643	1502
150	647	1497
151	652	1492
152	655	1487
153	659	1482
154	664	1479
155	669	1476
156	674	1473
157	678	1469
158	683	1465
159	687	1461
160	692	1457
161	696	1452
162	700	1447
163	704	1442
164	708	1437
165	711	1431
166	715	1426
167	719	1421
168	723	1417
169	727	1413
170	732	1408
171	736	1404
172	740	1399
173	744	1394
174	748	1389
175	752	1385
176	756	1380
177	760	1375
178	764	1370
179	769	1367
180	773	1362
181	777	1358
182	782	1354
183	785	1349
184	789	1344
185	794	1340
186	798	1336
187	802	1331
188	807	1328
189	811	1323
190	816	1320
191	820	1316
192	824	1312
193	829	1307
194	833	1304
195	837	1299
196	842	1295
197	846	1291
198	851	1287
199	856	1284
200	860	1279
201	864	1274
202	867	1269
203	871	1265
204	875	1260
205	880	1256
206	884	1251
207	888	1247
208	892	1243
209	896	1238
210	900	1233
211	904	1228
212	908	1224
213	912	1219
214	916	1214
215	920	1210
216	924	1205
217	927	1200
218	931	1195
219	935	1190
220	939	1185
221	943	1181
222	947	1176
223	950	1171
224	954	1167
225	959	1162
226	963	1158
227	967	1154
228	972	1150
229	976	1146
230	980	1141
231	983	1136
232	987	1131
233	991	1126
234	995	1122
235	998	1117
236	1002	1112
237	1006	1107
238	1010	1103
239	1013	1098
240	1017	1093
241	1020	1088
242	1024	1083
243	1028	1078
244	1032	1074
245	1036	1070
246	1040	1065
247	1043	1060
248	1047	1056
249	1055	1055
250	1059	1051
251	1063	1046
252	1067	1042
253	1071	1038
254	1076	1033
