C,SETP.WORLD,DVD_ROOFTOP_PV_ACTUAL,AEMO,PUBLIC,2026/03/09,10:04:45,001773014685816,MONTHLY_ARCHIVE,001773014685816
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,LASTCHANGED,TYPE,QI
D,ROOFTOP,ACTUAL,2,"2026/02/01 00:30:00",NSW1,0,"2026/02/01 00:49:04",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 00:30:00",QLD1,0,"2026/02/01 00:49:04",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 00:30:00",SA1,0,"2026/02/01 00:49:04",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 00:30:00",TAS1,0,"2026/02/01 00:49:04",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 00:30:00",VIC1,0,"2026/02/01 00:49:04",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 00:30:00",NSW1,0,"2026/02/01 00:50:21",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2026/02/01 00:30:00",QLD1,0,"2026/02/01 00:50:21",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2026/02/01 00:30:00",SA1,0,"2026/02/01 00:50:21",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2026/02/01 00:30:00",TAS1,0,"2026/02/01 00:50:21",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2026/02/01 00:30:00",VIC1,0,"2026/02/01 00:50:21",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2026/02/01 01:00:00",NSW1,0,"2026/02/01 01:19:05",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 01:00:00",QLD1,0,"2026/02/01 01:19:05",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 01:00:00",SA1,0,"2026/02/01 01:19:05",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 01:00:00",TAS1,0,"2026/02/01 01:19:05",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 01:00:00",VIC1,0,"2026/02/01 01:19:05",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 01:00:00",TAS1,0,"2026/02/01 01:20:23",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2026/02/01 01:00:00",NSW1,0,"2026/02/01 01:20:22",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2026/02/01 01:00:00",QLD1,0,"2026/02/01 01:20:22",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2026/02/01 01:00:00",SA1,0,"2026/02/01 01:20:22",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2026/02/01 01:00:00",VIC1,0,"2026/02/01 01:20:23",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2026/02/01 01:30:00",NSW1,0,"2026/02/01 01:49:06",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 01:30:00",QLD1,0,"2026/02/01 01:49:06",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 01:30:00",SA1,0,"2026/02/01 01:49:06",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2026/02/01 01:30:00",TAS1,0,"2026/02/01 01:49:06",MEASUREMENT,1
