REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2025/01/01 00:05:00,7251.07,138.03,TRADE
NSW1,2025/01/01 00:10:00,7297.85,134.42,TRADE
NSW1,2025/01/01 00:15:00,7274.39,135.89,TRADE
NSW1,2025/01/01 00:20:00,7173.05,120.31,TRADE
NSW1,2025/01/01 00:25:00,7140.49,119.89,TRADE
NSW1,2025/01/01 00:30:00,7162.36,121.87,TRADE
NSW1,2025/01/01 00:35:00,7078.85,111.65,TRADE
NSW1,2025/01/01 00:40:00,7051.56,119.05,TRADE
NSW1,2025/01/01 00:45:00,7029.33,119.49,TRADE
NSW1,2025/01/01 00:50:00,6941.93,115.95,TRADE
NSW1,2025/01/01 00:55:00,6962.78,128.51,TRADE
NSW1,2025/01/01 01:00:00,6970.56,116.72,TRADE
NSW1,2025/01/01 01:05:00,6949.87,116.34,TRADE
NSW1,2025/01/01 01:10:00,6960.56,109.74,TRADE
NSW1,2025/01/01 01:15:00,6899.02,107.54,TRADE
NSW1,2025/01/01 01:20:00,6807.22,117.09,TRADE
NSW1,2025/01/01 01:25:00,6794.64,113.44,TRADE
NSW1,2025/01/01 01:30:00,6745.76,109.74,TRADE
NSW1,2025/01/01 01:35:00,6720.28,109.69,TRADE
NSW1,2025/01/01 01:40:00,6712.49,104.50,TRADE
NSW1,2025/01/01 01:45:00,6690.95,104.50,TRADE
NSW1,2025/01/01 01:50:00,6652.11,103.24,TRADE
NSW1,2025/01/01 01:55:00,6571.64,103.95,TRADE
NSW1,2025/01/01 02:00:00,6590.09,104.50,TRADE
NSW1,2025/01/01 02:05:00,6536.66,104.50,TRADE
NSW1,2025/01/01 02:10:00,6568.22,105.42,TRADE
NSW1,2025/01/01 02:15:00,6488.58,104.50,TRADE
NSW1,2025/01/01 02:20:00,6459.04,104.50,TRADE
NSW1,2025/01/01 02:25:00,6508.42,104.50,TRADE
NSW1,2025/01/01 02:30:00,6439.9,104.50,TRADE
NSW1,2025/01/01 02:35:00,6407.11,104.50,TRADE
NSW1,2025/01/01 02:40:00,6403.53,104.50,TRADE
NSW1,2025/01/01 02:45:00,6382.74,104.16,TRADE
NSW1,2025/01/01 02:50:00,6368.9,103.40,TRADE
NSW1,2025/01/01 02:55:00,6350.32,103.36,TRADE
NSW1,2025/01/01 03:00:00,6297.55,102.58,TRADE
NSW1,2025/01/01 03:05:00,6356.19,104.25,TRADE
NSW1,2025/01/01 03:10:00,6297.22,102.54,TRADE
NSW1,2025/01/01 03:15:00,6348.26,105.12,TRADE
NSW1,2025/01/01 03:20:00,6275.24,102.02,TRADE
NSW1,2025/01/01 03:25:00,6240.06,103.61,TRADE
NSW1,2025/01/01 03:30:00,6266.13,104.35,TRADE
NSW1,2025/01/01 03:35:00,6229.95,103.61,TRADE
NSW1,2025/01/01 03:40:00,6315.79,105.74,TRADE
NSW1,2025/01/01 03:45:00,6278.14,104.50,TRADE
NSW1,2025/01/01 03:50:00,6280.26,103.69,TRADE
NSW1,2025/01/01 03:55:00,6242.9,102.85,TRADE
NSW1,2025/01/01 04:00:00,6229.77,102.82,TRADE
NSW1,2025/01/01 04:05:00,6268.1,104.50,TRADE
NSW1,2025/01/01 04:10:00,6310.74,104.50,TRADE
NSW1,2025/01/01 04:15:00,6302.06,102.92,TRADE
NSW1,2025/01/01 04:20:00,6293.7,102.97,TRADE
NSW1,2025/01/01 04:25:00,6258.69,102.18,TRADE
NSW1,2025/01/01 04:30:00,6273.29,102.02,TRADE
NSW1,2025/01/01 04:35:00,6239.32,101.46,TRADE
NSW1,2025/01/01 04:40:00,6271.31,102.02,TRADE
NSW1,2025/01/01 04:45:00,6196.45,101.34,TRADE
NSW1,2025/01/01 04:50:00,6225.34,102.13,TRADE
NSW1,2025/01/01 04:55:00,6152.12,100.54,TRADE
NSW1,2025/01/01 05:00:00,6159.93,102.02,TRADE
NSW1,2025/01/01 05:05:00,6120.1,102.18,TRADE
NSW1,2025/01/01 05:10:00,6155.79,102.94,TRADE
NSW1,2025/01/01 05:15:00,6132.18,102.02,TRADE
NSW1,2025/01/01 05:20:00,6085.73,102.02,TRADE
