Month,HOUSEHOLD_SPEND,SPEND_GROWTH
Jan-22,18099.6,-16
Feb-22,17983.3,-0.6
Mar-22,20462.3,13.8
Apr-22,19989,-2.3
May-22,21250.8,6.3
Jun-22,21298.1,0.2
Jul-22,21641.7,1.6
Aug-22,22091.5,2.1
Sep-22,22262.8,0.8
Oct-22,22936.5,3
Nov-22,23883.9,4.1
Dec-22,24974.1,4.6
Jan-23,21629.7,-13.4
Feb-23,20401.1,-5.7
Mar-23,22787,11.7
Apr-23,21642,-5
May-23,22727,5
Jun-23,22649.3,-0.3
Jul-23,22578.2,-0.3
Aug-23,23131.7,2.5
Sep-23,23334.7,0.9
Oct-23,23470.3,0.6
Nov-23,24782.6,5.6
Dec-23,25245.6,1.9
Jan-24,22511.8,-10.8
Feb-24,21803.4,-3.1
Mar-24,23215.7,6.5
Apr-24,22220.1,-4.3
May-24,23388.5,5.3
Jun-24,22910.5,-2
Jul-24,23188.7,1.2
Aug-24,23712.1,2.3
Sep-24,23110.2,-2.5
Oct-24,24205.9,4.7
Nov-24,25438.9,5.1
Dec-24,26116.5,2.7
Jan-25,23055.7,-11.7
Feb-25,21732.2,-5.7
Mar-25,23924.8,10.1
Apr-25,22810.9,-4.7
May-25,24315.9,6.6
Jun-25,24045.9,-1.1
Jul-25,24115.3,0.3
Aug-25,24260.3,0.6
Sep-25,24361.9,0.4
Oct-25,25612.4,5.1
Nov-25,26679.7,4.2
Dec-25,27183.1,1.9
Jan-26,24053.6,-11.5
Feb-26,22437.7,-6.7
